State,Category,,Causes,Number of Causes,Percentage,
Johor,Medically certified,Ischaemic heart diseases,2982,17.9,
Johor,Medically certified,Pneumonia,2248,13.5,
Johor,Medically certified,Cerebrovascular diseases,1212,7.3,
Johor,Medically certified,COVID-19 infection,833,5.0,
Johor,Medically certified,Transport accidents,510,3.0,
Johor,Medically certified,Malignant neoplasm of trachea, bronchus and lung,337,2.0,
Johor,Medically certified,Chronic lower respiratory diseases,288,1.7,
Johor,Medically certified,Malignant neoplasm of breast,286,1.7,
Johor,Medically certified,Malignant neoplasm of colon, rectum and anus,269,1.6,
Johor,Medically certified,Diabetes mellitus,242,1.4
Johor,Non-medically certified,Old age (65 years and over),5158,29.6
Johor,Non-medically certified,Hypertension,480,5.6
Johor,Non-medically certified,Diabetes mellitus,218,2.5
Johor,Non-medically certified,Cerebrovascular diseases,162,1.9
Johor,Non-medically certified,Ischaemic heart diseases,151,1.7
Johor,Non-medically certified,Trachea, bronchus, and lung cancer,93,1.1
Johor,Non-medically certified,Colon, rectum, and anus cancer,93,1.1
Johor,Non-medically certified,Liver cancer,92,1.1
Johor,Non-medically certified,Breast cancer,82,0.9
Johor,Non-medically certified,Asthma,70,0.8


